relationship_id,entity_id_a,entity_id_b,relationship_type,role_a,role_b
rel-0000000,NK-99w7XVS8SvAN6LT4ACLRDa,NK-o5PQGUM8jtr7XF6Qqq3fpJ,Ownership,owner,asset
rel-0000001,NK-kcv6RqVGDKbWMaXuKYcziS,NK-NGQ9PVV5yKYtwFwrYqKsLg,UnknownLink,subject,object
rel-0000002,NK-RjMgWjJeqvwaUAAxyc9uKf,NK-9wRSqKASCprTwAKDLUBxnt,Ownership,owner,asset
rel-0000003,NK-jEg9ffm9mCQVWMi8kWXsrA,NK-arBW8i9idYNbpyfj828LxD,Ownership,owner,asset
rel-0000004,NK-e6vHZwTrZnLkHw7eoR7xnR,NK-eTHEJp5YfcCTwKmqnt743e,Ownership,owner,asset
rel-0000005,NK-neZdRCM4Agd9EjZvWy6Yoh,NK-aZoM3HbLrEetRNpxZ2o6dq,Ownership,owner,asset
rel-0000006,NK-b3fcbf4CHMfChZi52uVcjS,NK-iHmoXeuZRBDkpmjYpNn5Lv,Ownership,owner,asset
rel-0000007,NK-eRaydafM4WCpz6GDtEPCkx,NK-W8e7o33u8K6CdUieN6bqxm,Ownership,owner,asset
rel-0000008,NK-e3CBszZ4z7Zi2s2FQp5Kbr,NK-nwN35pjntT9hD6DKpVoXsh,Ownership,owner,asset
rel-0000009,Q63611067,Q4398633,Family,person,relative
rel-0000010,NK-jtVerogvcsNowZJdBqbqDa,NK-mu8RsGdLYSmSzyY8niyLpP,Ownership,owner,asset
rel-0000011,NK-kcv6RqVGDKbWMaXuKYcziS,NK-UVxknVrJ49M8eU62FcYBH3,UnknownLink,subject,object
rel-0000012,NK-VxekJrEY3Dez3pDiSgF5R2,NK-oSBeqLSswbhkdiCMfE5h3u,Ownership,owner,asset
rel-0000013,NK-PUoiZTPDehyJijQsNWX45v,NK-n3mqNyNNPRiqGcWtWR9Uoq,UnknownLink,subject,object
rel-0000014,NK-jj3vAETxpV67TYbc8GCkrw,NK-jtVerogvcsNowZJdBqbqDa,Ownership,owner,asset
rel-0000015,NK-nmUtRzJuxoiG4L8Jsr6wAn,NK-6MKmLEYCqhWcAQP6gN3Dvv,Ownership,owner,asset
rel-0000016,NK-WXPizVmyENZvPBA5HRVZKt,NK-nbzWgKijjkTBeF66DY98nw,Ownership,owner,asset
rel-0000017,NK-AXJyzfzQy6phGhGQT8TqqC,NK-A4xZy7j4p4fyEZtrZj2ADM,Ownership,owner,asset
rel-0000018,NK-jtVerogvcsNowZJdBqbqDa,NK-oDTLqgYVPPr5GwAaHPsxFG,Ownership,owner,asset
rel-0000019,NK-nbzWgKijjkTBeF66DY98nw,NK-UtJoCrVwJjdZBN9YMujMNE,Ownership,owner,asset
rel-0000020,NK-neZdRCM4Agd9EjZvWy6Yoh,NK-G6i9iYevre554shUtm3Bzy,Ownership,owner,asset
rel-0000021,NK-kcv6RqVGDKbWMaXuKYcziS,NK-9LzuKaJNyeei9mCEHXSCTq,UnknownLink,subject,object
rel-0000022,NK-fJCVW7tDDF2f2HfzMkjrYZ,NK-BMWJtvCHKeZEfXnZpDrEZW,Ownership,owner,asset
rel-0000023,NK-dDFnVHx6DzJSRd5p3X5ZeX,NK-E7pJMSxKkjwnXnu4And2Yx,Ownership,owner,asset
rel-0000024,NK-kcv6RqVGDKbWMaXuKYcziS,NK-bZ3Radsso2M5k2VmEMnJMS,UnknownLink,subject,object
rel-0000025,NK-ivJZPmgX4dVuV3KJmWuEQA,NK-P7DSWDDywTjTUsQ6xf8k7E,Ownership,owner,asset
rel-0000026,NK-neZdRCM4Agd9EjZvWy6Yoh,ofac-50687,Ownership,owner,asset
rel-0000027,Q125175113,Q2007053,Family,person,relative
rel-0000028,NK-VfnudPd6LTMbMViqynLmqb,NK-P7DSWDDywTjTUsQ6xf8k7E,Ownership,owner,asset
rel-0000029,Q461631,NK-TGuXyWFxdreyPLzxXepnN9,Ownership,owner,asset
rel-0000030,NK-nmUtRzJuxoiG4L8Jsr6wAn,NK-Mxz3QTkEkvAWVwQdLqLi8i,Ownership,owner,asset
rel-0000031,NK-UVQW9fDEsnApiQQSso2gFN,NK-m8LRLxgWB3HzXo5tj7Gf2n,Ownership,owner,asset
rel-0000032,NK-SMP8H36PFko3oafdtnnEvK,NK-WhQKAZQWzif3tAgumU6iuK,Ownership,owner,asset
rel-0000033,NK-jtVerogvcsNowZJdBqbqDa,NK-kB5BsfdLiGuSpmgRXCRz2v,Ownership,owner,asset
rel-0000034,NK-kcv6RqVGDKbWMaXuKYcziS,NK-jbha85SvsD6o7KzVP6jY2Q,UnknownLink,subject,object
rel-0000035,NK-mmGxwFYre24XCPwZhrZ2t5,NK-bCqCZiXVhavep845qc8m9W,UnknownLink,subject,object
rel-0000036,NK-DNJYcDkUxJqvVmN2RnPWHc,NK-QzvQuVaatQC4DH6ACU7t88,Directorship,director,organization
rel-0000037,NK-kcv6RqVGDKbWMaXuKYcziS,NK-5gDV6kM5YhuZN957KQeQtj,UnknownLink,subject,object
rel-0000038,NK-kB5BsfdLiGuSpmgRXCRz2v,NK-jtVerogvcsNowZJdBqbqDa,UnknownLink,subject,object
rel-0000039,NK-kNULoiM7XfTYeWLtTZ4UHg,NK-bcXpUctZCj9hFJ8cFqPpBM,Ownership,owner,asset
rel-0000040,NK-nmUtRzJuxoiG4L8Jsr6wAn,NK-nBM4ev7WcjeoJ8Vzr2N4ap,Ownership,owner,asset
rel-0000041,Q119781769,Q4398633,Family,person,relative
rel-0000042,NK-VM8ggWYc5Y23kmModbr8EV,NK-nbzWgKijjkTBeF66DY98nw,Ownership,owner,asset
rel-0000043,NK-HTvfAwicaWMpEAaPzb832i,NK-fAnmWiiqpidM7C9Cbbhs7z,Directorship,director,organization
rel-0000044,Q18399315,Q4398633,Family,person,relative
rel-0000045,Q461631,NK-RfTi2rMnM3RLaDT8iaGAEF,Ownership,owner,asset
rel-0000046,NK-kcgP8Tjzwzr2prt9UPt9ox,NK-S457BEKePU9JF2oU69q3Kq,Ownership,owner,asset
rel-0000047,NK-nmUtRzJuxoiG4L8Jsr6wAn,NK-gkj8DnQtf4zrQhym3LLGCN,Ownership,owner,asset
rel-0000048,NK-kcv6RqVGDKbWMaXuKYcziS,NK-jpw8s7GbQGf3iLQJW5eCc6,UnknownLink,subject,object
rel-0000049,Q104902312,Q516824,Family,person,relative
rel-0000050,NK-W756ZfkRhbqnUaR5Dd6nYa,NK-jbuK5iavVL8rwHYeUZ67sS,Ownership,owner,asset
